x,y1,y2,y3,y4,y5
1,0,0,0,0,0
2,204,0,0,0,0
3,408,0,0,0,0
4,612,0,0,0,0
5,815,0,0,0,0
6,1018,4,0,0,0
7,1221,4,0,0,0
8,1424,12,0,0,0
9,1627,37,0,0,0
10,1830,63,0,0,0
11,2033,91,0,0,0
12,2236,161,0,0,1
13,2439,214,0,0,2
14,2642,287,0,0,2
15,2845,354,0,0,4
16,3048,478,0,0,16
17,3251,594,0,0,47
18,3454,730,0,0,52
19,3657,864,0,0,105
20,3860,1024,0,0,156
21,4063,1191,0,0,189
22,4266,1367,0,0,290
23,4469,1580,0,0,384
24,4672,1725,0,0,490
25,4875,2022,0,0,575
26,5078,2162,0,0,725
27,5281,2415,0,0,962
28,5484,2688,0,0,1082
29,5687,2914,0,0,1250
30,5890,3181,0,0,1547
31,6093,3495,0,0,1723
32,6296,3732,0,0,2045
33,6499,4061,0,0,2280
34,6702,4335,0,0,2534
35,6905,4587,0,0,2909
36,7108,4920,0,0,3204
37,7311,5235,0,0,3557
38,7514,5577,0,0,3961
39,7717,5907,0,0,4342
40,7920,6232,0,0,4789
41,8123,6548,0,0,5167
42,8326,6925,0,0,5565
43,8529,7314,0,0,6104
44,8732,7636,0,0,6496
45,8935,8000,0,0,7013
46,9138,8398,0,0,7521
47,9341,8753,0,0,8064
48,9544,9156,0,0,8630
49,9747,9554,0,0,9217
50,9950,9950,9950,9949,9950
51,9950,9950,9950,9949,9950
52,9950,9950,9950,9949,9950
53,9950,9950,9950,9949,9950
54,9950,9950,9950,9949,9950
55,9950,9950,9950,9949,9950
56,9950,9950,9950,9949,9950
57,9950,9950,9950,9949,9950
58,9950,9950,9950,9949,9950
59,9950,9950,9950,9949,9950
60,9950,9950,9950,9949,9950
61,9950,9950,9950,9949,9950
62,9950,9950,9950,9949,9950
63,9950,9950,9950,9949,9950
64,9950,9950,9950,9949,9950
65,9950,9950,9950,9949,9950
66,9950,9950,9950,9949,9950
67,9950,9950,9950,9949,9950
68,9950,9950,9950,9949,9950
69,9950,9950,9950,9949,9950
70,9950,9950,9950,9949,9950
71,9950,9950,9950,9949,9950
72,9950,9950,9950,9949,9950
73,9950,9950,9950,9949,9950
74,9950,9950,9950,9949,9950
75,9950,9950,9950,9949,9950
76,9950,9950,9950,9949,9950
77,9950,9950,9950,9949,9950
78,9950,9950,9950,9949,9950
79,9950,9950,9950,9949,9950
80,9950,9950,9950,9949,9950
81,9950,9950,9950,9949,9950
82,9950,9950,9950,9949,9950
83,9950,9950,9950,9949,9950
84,9950,9950,9950,9949,9950
85,9950,9950,9950,9949,9950
86,9950,9950,9950,9949,9950
87,9950,9950,9950,9949,9950
88,9950,9950,9950,9949,9950
89,9950,9950,9950,9949,9950
90,9950,9950,9950,9949,9950
91,9950,9950,9950,9949,9950
92,9950,9950,9950,9949,9950
93,9950,9950,9950,9949,9950
94,9950,9950,9950,9949,9950
95,9950,9950,9950,9949,9950
96,9950,9950,9950,9949,9950
97,9950,9950,9950,9949,9950
98,9950,9950,9950,9949,9950
99,9950,9950,9950,9949,9950
100,9950,9950,9950,9949,9950
