x,y
1,109.000000
101,174.000000
201,66.000000
301,116.000000
401,292.000000
501,305.000000
601,993.000000
701,959.000000
801,1363.000000
901,1855.000000
1001,1860.000000
1101,2058.000000
1201,2517.000000
1301,2392.000000
1401,2678.000000
1501,2353.000000
1601,2707.000000
1701,2781.000000
1801,2468.000000
1901,2776.000000
2001,4825.000000
2101,4628.000000
2201,4033.000000
2301,4398.000000
2401,4902.000000
2501,5009.000000
2601,6344.000000
2701,6155.000000
2801,5539.000000
2901,6206.000000
3001,7199.000000
3101,6806.000000
3201,6593.000000
3301,8382.000000
3401,8829.000000
3501,10175.000000
3601,8924.000000
3701,11131.000000
3801,12260.000000
3901,10919.000000
4001,7816.000000
4101,14689.000000
4201,10563.000000
4301,13014.000000
4401,16231.000000
4501,14335.000000
4601,15602.000000
4701,15990.000000
4801,18408.000000
4901,16555.000000
5001,15354.000000
5101,17612.000000
5201,18495.000000
5301,17355.000000
5401,19733.000000
5501,19809.000000
5601,22360.000000
5701,21281.000000
5801,19043.000000
5901,24131.000000
6001,24342.000000
6101,24548.000000
6201,24077.000000
6301,26015.000000
6401,27193.000000
6501,30188.000000
6601,25653.000000
6701,28259.000000
6801,24533.000000
6901,24620.000000
7001,25844.000000
7101,25724.000000
7201,25743.000000
7301,25898.000000
7401,27948.000000
7501,28693.000000
7601,42471.000000
7701,37232.000000
7801,33278.000000
7901,30943.000000
8001,31390.000000
8101,31824.000000
8201,32668.000000
8301,40474.000000
8401,41583.000000
8501,43516.000000
8601,38167.000000
8701,40005.000000
8801,41024.000000
8901,41973.000000
9001,53760.000000
9101,64695.000000
9201,59001.000000
9301,62283.000000
9401,56645.000000
9501,55553.000000
9601,59060.000000
9701,58134.000000
9801,76478.000000
9901,57938.000000
10001,59538.000000
10101,62079.000000
10201,66600.000000
10301,58452.000000
10401,67059.000000
10501,71613.000000
10601,60519.000000
10701,72147.000000
10801,73762.000000
10901,79935.000000
11001,75361.000000
11101,71472.000000
11201,69815.000000
11301,60040.000000
11401,64605.000000
11501,87423.000000
11601,81789.000000
11701,69696.000000
11801,73195.000000
11901,72078.000000
12001,67765.000000
12101,70668.000000
12201,72730.000000
12301,69502.000000
12401,73498.000000
12501,76124.000000
12601,83364.000000
12701,73716.000000
12801,76046.000000
12901,83080.000000
13001,78177.000000
13101,82581.000000
13201,85671.000000
13301,87487.000000
13401,81628.000000
13501,81179.000000
13601,86559.000000
13701,87228.000000
13801,86094.000000
13901,84793.000000
14001,88393.000000
14101,89944.000000
14201,91374.000000
14301,91860.000000
14401,93778.000000
14501,96715.000000
14601,101700.000000
14701,108510.000000
14801,103734.000000
14901,105408.000000
15001,100518.000000
15101,98938.000000
15201,103671.000000
15301,113020.000000
15401,108814.000000
15501,112791.000000
15601,109279.000000
15701,109027.000000
15801,115086.000000
15901,114352.000000
16001,114834.000000
16101,115795.000000
16201,116591.000000
16301,140216.000000
